ticker,date,time,open,high,low,close,vol
XAUUSD,20010102,230900,268.8000,268.8000,268.8000,268.8000,4
XAUUSD,20010102,231200,268.8000,268.8000,268.8000,268.8000,4
XAUUSD,20010102,231600,268.9000,268.9000,268.9000,268.9000,4
XAUUSD,20010102,233800,268.8000,268.8000,268.8000,268.8000,4
XAUUSD,20010102,234100,268.8000,268.8000,268.8000,268.8000,4
XAUUSD,20010102,235000,268.8000,268.8000,268.8000,268.8000,4
XAUUSD,20010102,235200,268.6000,268.6000,268.6000,268.6000,4
XAUUSD,20010103,000300,268.9000,268.9000,268.9000,268.9000,4
XAUUSD,20010103,002600,269.1000,269.1000,269.1000,269.1000,4
XAUUSD,20010103,002700,269.3000,269.3000,269.3000,269.3000,4
XAUUSD,20010103,002800,269.1000,269.1000,269.1000,269.1000,4
XAUUSD,20010103,003300,269.1000,269.1000,269.1000,269.1000,4
XAUUSD,20010103,005700,269.1000,269.1000,269.1000,269.1000,4
XAUUSD,20010103,010200,269.1000,269.1000,269.1000,269.1000,4
XAUUSD,20010103,010700,269.1000,269.1000,269.1000,269.1000,4
XAUUSD,20010103,011700,269.1000,269.1000,269.1000,269.1000,4
XAUUSD,20010103,012300,269.1000,269.2000,269.1000,269.2000,4
XAUUSD,20010103,012800,269.2000,269.2000,269.2000,269.2000,4
XAUUSD,20010103,012900,269.2000,269.2000,269.2000,269.2000,4
XAUUSD,20010103,013300,269.2000,269.4000,269.2000,269.4000,4
XAUUSD,20010103,015200,269.4000,269.4000,269.4000,269.4000,4
XAUUSD,20010103,015400,269.4000,269.4000,269.4000,269.4000,4
XAUUSD,20010103,020500,269.3000,269.3000,269.3000,269.3000,4
XAUUSD,20010103,021500,269.3000,269.3000,269.3000,269.3000,4
XAUUSD,20010103,021700,269.3000,269.3000,269.3000,269.3000,4
XAUUSD,20010103,021800,269.3000,269.3000,269.3000,269.3000,4
XAUUSD,20010103,022200,269.3000,269.3000,269.3000,269.3000,4
XAUUSD,20010103,022300,269.4000,269.4000,269.4000,269.4000,4
XAUUSD,20010103,022400,269.4000,269.4000,269.4000,269.4000,4
XAUUSD,20010103,023200,269.4000,269.4000,269.4000,269.4000,4
XAUUSD,20010103,023600,269.4000,269.4000,269.4000,269.4000,4
XAUUSD,20010103,025000,269.4000,269.4000,269.4000,269.4000,4
XAUUSD,20010103,025700,269.5000,269.5000,269.5000,269.5000,4
XAUUSD,20010103,025800,269.5000,269.5000,269.5000,269.5000,4
XAUUSD,20010103,031300,269.5000,269.5000,269.5000,269.5000,4
XAUUSD,20010103,031400,269.5000,269.6000,269.5000,269.6000,4
XAUUSD,20010103,031500,269.6000,269.6000,269.6000,269.6000,4
XAUUSD,20010103,032700,269.7000,269.7000,269.6000,269.6000,4
XAUUSD,20010103,033100,269.6000,269.6000,269.6000,269.6000,4
XAUUSD,20010103,033200,269.6000,269.6000,269.6000,269.6000,4
XAUUSD,20010103,034800,269.6000,269.6000,269.6000,269.6000,4
XAUUSD,20010103,034900,269.7000,269.7000,269.7000,269.7000,4
XAUUSD,20010103,035600,269.6000,269.6000,269.6000,269.6000,4
XAUUSD,20010103,040300,269.6000,269.6000,269.6000,269.6000,4
XAUUSD,20010103,040500,269.6000,269.6000,269.6000,269.6000,4
XAUUSD,20010103,040700,269.6000,269.6000,269.6000,269.6000,4
XAUUSD,20010103,041300,269.6000,269.6000,269.6000,269.6000,4
XAUUSD,20010103,042000,269.6000,269.6000,269.6000,269.6000,4
XAUUSD,20010103,042300,269.6000,269.6000,269.6000,269.6000,4
XAUUSD,20010103,042800,269.6000,269.6000,269.6000,269.6000,4
XAUUSD,20010103,043700,269.6000,269.6000,269.6000,269.6000,4
XAUUSD,20010103,043800,269.6000,269.6000,269.6000,269.6000,4
XAUUSD,20010103,044500,269.6000,269.6000,269.6000,269.6000,4
XAUUSD,20010103,044700,269.5000,269.5000,269.5000,269.5000,4
XAUUSD,20010103,045700,269.5000,269.5000,269.5000,269.5000,4
XAUUSD,20010103,050000,269.5000,269.5000,269.5000,269.5000,4
XAUUSD,20010103,051000,269.5000,269.5000,269.5000,269.5000,4
XAUUSD,20010103,052900,269.5000,269.5000,269.5000,269.5000,4
XAUUSD,20010103,053100,269.6000,269.6000,269.6000,269.6000,4
XAUUSD,20010103,054000,269.6000,269.6000,269.6000,269.6000,4
XAUUSD,20010103,054300,269.6000,269.6000,269.6000,269.6000,4
XAUUSD,20010103,054600,269.6000,269.6000,269.6000,269.6000,4
XAUUSD,20010103,060600,269.6000,269.6000,269.6000,269.6000,4
XAUUSD,20010103,061000,269.6000,269.6000,269.6000,269.6000,4
XAUUSD,20010103,061300,269.6000,269.6000,269.6000,269.6000,4
XAUUSD,20010103,061400,269.7000,269.7000,269.7000,269.7000,4
XAUUSD,20010103,061600,269.7000,269.7000,269.7000,269.7000,4
XAUUSD,20010103,062600,269.6000,269.6000,269.6000,269.6000,4
XAUUSD,20010103,062800,269.6000,269.6000,269.6000,269.6000,4
XAUUSD,20010103,062900,269.6000,269.6000,269.6000,269.6000,4
XAUUSD,20010103,063100,269.6000,269.6000,269.6000,269.6000,4
XAUUSD,20010103,063200,269.5000,269.5000,269.5000,269.5000,4
XAUUSD,20010103,064000,269.5000,269.5000,269.5000,269.5000,4
XAUUSD,20010103,064300,269.5000,269.5000,269.5000,269.5000,4
XAUUSD,20010103,064400,269.5000,269.5000,269.5000,269.5000,4
XAUUSD,20010103,064700,269.5000,269.5000,269.5000,269.5000,4
XAUUSD,20010103,065000,269.5000,269.5000,269.5000,269.5000,4
XAUUSD,20010103,065200,269.5000,269.5000,269.5000,269.5000,4
XAUUSD,20010103,065300,269.5000,269.5000,269.5000,269.5000,4
XAUUSD,20010103,065600,269.5000,269.5000,269.5000,269.5000,4
XAUUSD,20010103,070100,269.5000,269.5000,269.5000,269.5000,4
XAUUSD,20010103,070400,269.5000,269.5000,269.5000,269.5000,4
XAUUSD,20010103,070900,269.5000,269.5000,269.5000,269.5000,4
XAUUSD,20010103,071100,269.4000,269.4000,269.3000,269.3000,4
XAUUSD,20010103,071200,269.3000,269.3000,269.2000,269.2000,4
XAUUSD,20010103,071300,269.2000,269.2000,269.2000,269.2000,4
XAUUSD,20010103,071900,269.4000,269.4000,269.3000,269.3000,4
XAUUSD,20010103,072000,269.2000,269.2000,269.2000,269.2000,4
XAUUSD,20010103,072300,269.2000,269.2000,269.2000,269.2000,4
XAUUSD,20010103,072400,269.1000,269.1000,269.1000,269.1000,4
XAUUSD,20010103,072900,269.1000,269.1000,269.1000,269.1000,4
XAUUSD,20010103,073100,269.1000,269.1000,269.1000,269.1000,4
XAUUSD,20010103,073400,269.1000,269.1000,269.1000,269.1000,4
XAUUSD,20010103,074200,269.3000,269.3000,269.3000,269.3000,4
XAUUSD,20010103,075800,269.2000,269.2000,269.2000,269.2000,4
XAUUSD,20010103,080200,269.1000,269.1000,269.1000,269.1000,4
XAUUSD,20010103,080600,269.1000,269.1000,269.1000,269.1000,4
XAUUSD,20010103,082000,269.1000,269.1000,269.1000,269.1000,4
XAUUSD,20010103,082400,269.1000,269.1000,269.1000,269.1000,4
XAUUSD,20010103,083300,268.7000,268.7000,268.7000,268.7000,4
XAUUSD,20010103,083400,268.8000,268.8000,268.8000,268.8000,4
XAUUSD,20010103,083500,268.8000,268.8000,268.8000,268.8000,4
XAUUSD,20010103,084000,268.9000,268.9000,268.8000,268.8000,4
