ticker,date,time,open,high,low,close,vol
XAUUSD,20220608,000000,1849,1849.1,1849,1849,4
XAUUSD,20220608,000100,1849.1,1849.3,1849,1849.3,4
XAUUSD,20220608,000200,1849.4,1849.4,1849.2,1849.3,4
XAUUSD,20220608,000300,1849.2,1849.7,1849.2,1849.6,4
XAUUSD,20220608,000400,1849.7,1849.8,1849.7,1849.7,4
XAUUSD,20220608,000500,1849.8,1849.9,1849.7,1849.9,4
XAUUSD,20220608,000600,1849.8,1849.9,1849.7,1849.7,4
XAUUSD,20220608,000700,1849.8,1849.9,1849.8,1849.9,4
XAUUSD,20220608,000800,1850,1850.3,1850,1850.3,4
XAUUSD,20220608,000900,1850.2,1850.2,1849.5,1849.6,4
XAUUSD,20220608,001000,1849.5,1849.5,1849.2,1849.2,4
XAUUSD,20220608,001100,1849.3,1849.4,1849.3,1849.4,4
XAUUSD,20220608,001200,1849.4,1849.4,1849.4,1849.4,4
XAUUSD,20220608,001300,1849.3,1849.4,1849.3,1849.4,4
XAUUSD,20220608,001400,1849.3,1849.3,1849.3,1849.3,4
XAUUSD,20220608,001500,1849.3,1849.3,1849.1,1849.2,4
XAUUSD,20220608,001600,1849.1,1849.3,1849.1,1849.2,4
XAUUSD,20220608,001700,1849.2,1849.2,1849,1849,4
XAUUSD,20220608,001800,1848.9,1848.9,1848.7,1848.9,4
XAUUSD,20220608,001900,1849,1849.7,1849,1849.6,4
XAUUSD,20220608,002000,1849.5,1849.6,1849.5,1849.5,4
XAUUSD,20220608,002100,1849.4,1849.7,1849.4,1849.7,4
XAUUSD,20220608,002200,1849.6,1849.7,1849.5,1849.5,4
XAUUSD,20220608,002300,1849.4,1849.5,1849.4,1849.5,4
XAUUSD,20220608,002400,1849.4,1849.4,1849.3,1849.4,4
XAUUSD,20220608,002500,1849.4,1849.4,1849.4,1849.4,4
XAUUSD,20220608,002600,1849.5,1849.6,1849.5,1849.6,4
XAUUSD,20220608,002700,1849.7,1849.9,1849.7,1849.7,4
XAUUSD,20220608,002800,1849.7,1849.7,1849.5,1849.5,4
XAUUSD,20220608,002900,1849.4,1849.4,1849.2,1849.2,4
XAUUSD,20220608,003000,1849.1,1849.2,1849.1,1849.2,4
XAUUSD,20220608,003100,1849.3,1849.3,1849.2,1849.3,4
XAUUSD,20220608,003200,1849.2,1849.2,1849.1,1849.1,4
XAUUSD,20220608,003300,1849,1849.2,1849,1849.2,4
XAUUSD,20220608,003400,1849.3,1849.4,1849.2,1849.4,4
XAUUSD,20220608,003500,1849.3,1849.4,1849.2,1849.2,4
XAUUSD,20220608,003600,1849.3,1849.7,1849.3,1849.7,4
XAUUSD,20220608,003700,1849.6,1849.7,1849.6,1849.7,4
XAUUSD,20220608,003800,1849.6,1849.7,1849.6,1849.6,4
XAUUSD,20220608,003900,1849.7,1849.9,1849.7,1849.9,4
XAUUSD,20220608,004000,1850,1850,1849.7,1849.7,4
XAUUSD,20220608,004100,1849.8,1849.8,1849.6,1849.6,4
XAUUSD,20220608,004200,1849.5,1849.6,1849.5,1849.6,4
